alphas,gammas,2014v2:ESP_Jake:Potts_Point,2014v2:ESP_Jake:Basin_Point,2014v2:ESP_Jake:Head_Beach,2014v2:ESP_Don:York_River,2014v2:ESP_Don:Ogunquit,2014v2:ESP_Dennis:Christmas_Cove,2017:ESP3_Roman:Cutler_Harbor,2017:ESP3_Roman:Lubec_Channel,2017:ESP3_Roman:Gove_Point,2017:ESP3_Roman:Gleason_Cove,2019:ESP_Roman:Lubec_Channel,2019:ESP_Roman:Gove_Point,2019:ESP_Roman:Gleason_Cove,,method1_mean,method2_mean,method3_cumu
0.034,0.1,69.03077224057024,66.00981261226042,58.14355689276924,139.75493773217286,109.82384341652667,35.96202308773419,127.10361917207953,83.50829392841791,115.81385827834438,33.085999054648305,85.56427518993175,82.37753771139447,105.60770314192322,,,85.52201788144407,91.30496710435963
0.035,0.1,72.38967386892148,69.3856241740699,61.39412980039836,145.6190817203986,115.45997594798084,37.79036059063945,131.80694662745609,88.13103156001229,120.5211613659903,35.7607245413811,90.9811134249715,86.76786773668057,110.45313230620053,,,89.72775566654624,95.62385493037605
0.036,0.1,75.76988041558518,72.78205033913751,64.68073645512682,151.48504692271808,121.10107013236934,39.63034271228451,136.51161821597262,92.76384990343553,125.22963092166364,38.82763271284112,96.42649511819292,91.29871397347372,115.37326405650352,,,93.99079475994651,99.98759993068394
0.037,0.1,79.16866300601072,76.1963344901588,67.9981521177666,157.352629659569,126.74646348781486,41.48041989096097,141.2174995980042,97.40531058448894,129.9391401411582,42.20130638404992,101.89584422817477,95.9501726122077,120.35893748000008,,,98.30083643695114,104.39057688501823
0.038,0.1,82.58372814756208,79.62617946710446,71.34207904952183,163.22165548695503,132.3956060611422,43.33929932615982,145.92447373062404,102.05423444077567,134.64957993454487,45.814026400612555,107.38549869804693,100.70553224563655,125.40233551668669,,,102.64955603887482,108.82802414456856
0.039,0.1,86.01313641511712,83.06965782969637,74.70895745096071,169.0919741399348,138.04803758146116,45.205895176948616,150.63243817480088,106.7096460522818,139.36085594080444,49.613600208309826,112.89249638371102,105.55075070743754,130.49676556998227,,,107.03032397164974,113.29589149819243
0.04,0.1,89.45523822451415,86.52514187207137,78.09581891711385,174.96345548912748,143.70336994675554,47.079289632818295,155.3413028897636,111.37073183737338,144.0728861258645,53.56027625304396,118.4144176117351,110.47400542386663,135.63647755997053,,,111.43787782953987,117.79071744354515
0.041,0.1,92.90862276596049,89.99124862254808,81.5001722076939,180.83598628140584,149.3612736494365,48.95870225840408,160.05098841485406,116.03680801995291,148.78559883536244,57.62383721215704,123.94926787346822,115.4653148064111,140.81651328941524,,,115.86802571054385,122.30952986458351
0.042,0.1,96.372077135208,93.46679629650518,84.91991366020585,186.7094674931057,155.02146714721752,50.843465678866416,164.76142436181064,120.70729587313718,153.4989312048683,61.78122363536008,129.4953893537271,120.516223479484,146.03258175681881,,,120.31740439048575,126.84976535201524
0.043,0.1,99.84455341712604,96.95076956808266,88.35325648131945,192.58381216568216,160.6837084614866,52.7330061589875,169.47254815742843,125.38170239165346,158.21282785335313,66.01471145729546,135.05139344279337,125.61954254666114,151.28095585234135,,,124.78329138109312,131.40920340053313
