alphas,gammas,2014v2:ESP_Jake:Potts_Point,2014v2:ESP_Jake:Basin_Point,2014v2:ESP_Jake:Head_Beach,2014v2:ESP_Don:York_River,2014v2:ESP_Don:Ogunquit,2014v2:ESP_Dennis:Christmas_Cove,2017:ESP3_Roman:Cutler_Harbor,2017:ESP3_Roman:Lubec_Channel,2017:ESP3_Roman:Gove_Point,2017:ESP3_Roman:Gleason_Cove,2019:ESP_Roman:Lubec_Channel,2019:ESP_Roman:Gove_Point,2019:ESP_Roman:Gleason_Cove,,method1_mean,method2_mean,method3_cumu
0.0,0.05,62.269516232079496,63.27812801458745,73.5665982489982,61.13247919300063,85.3620267086401,34.88208725441381,35.675007126922615,77.23699195934402,44.47021915528277,127.93591031972971,108.85569748269816,137.68497659076405,105.80579370969288,,,78.31964861508877,86.6907820545935
0.0,0.055,62.39054420812121,63.50538052088452,73.69959969704271,61.34528570694082,85.49154002237718,34.92542735210462,35.72424889457327,77.76466238635902,44.722424047879315,130.5992062454874,109.71108662972007,138.15682614656012,107.7255360958428,,,78.90475138106869,87.4738207506196
0.0,0.06,62.49407731900712,63.69937594959409,73.81198547498116,61.52798590211086,85.60150995458372,34.963742152613314,35.76801762196715,78.24651382305984,44.95088194396328,133.03581033659495,110.46087811257692,138.56821112384057,109.39627152497879,,,79.42502009537475,88.175891201083
0.0,0.065,62.5827654717986,63.865209383746155,73.90702675163743,61.684974543041605,85.6950630866506,34.997673957240664,35.80694937783322,78.68634784954675,45.15783455576276,135.25967581758783,111.11933795288797,138.92730781243012,110.85581763745931,,,79.88815263058639,88.80559815085302
0.0,0.07,62.658844480782946,64.00717125625287,73.98746760382018,61.819996418240024,85.77481386905816,35.027779400245116,35.84160416464783,79.08781972669583,45.34536044850994,137.28699655370716,111.6987269773273,139.24116666858404,112.13578284967807,,,80.30104080134994,89.370898611822
0.0,0.075,62.724202065454,64.12887647610667,74.05561066473807,61.93624285126971,85.84294931642734,35.05454107515472,35.872474769947566,79.45436473238954,45.51536350188062,139.1344710881449,112.20956700596325,139.51586152401595,113.26259182886348,,,80.66977822310429,89.87900349337303
0.0,0.08,62.78043328327212,64.23337298739733,74.1133888981566,62.036433966652,85.90129966886913,35.07837758056908,35.899994811718194,79.78916520806769,45.66957376563695,140.81835324241925,112.66088479798645,139.7566232524864,114.25836388340669,,,80.99971271897213,90.33636649468431
0.0,0.085,62.82888704520091,64.32323284481492,74.16242568460049,62.122888760052895,85.95139733203357,35.09965219696922,35.924545942989255,80.09514175724897,45.809555151002584,142.3539631488173,113.06042831368399,139.96795735012066,115.14165074846645,,,81.29551740584625,90.74871889964156
0.0,0.09,62.870705130697715,64.40062852445409,74.20408509205657,62.19758474984786,85.99452603435638,35.118680379097206,35.94646424110738,80.37495838201158,45.93671659438862,143.75546585007513,113.41485469944564,140.15374618814442,115.92804943298337,,,81.56126656143584,91.12112631241968
0.0,0.095,62.906854908137014,64.46739682080582,74.23951392120982,62.26220874189747,86.03176182352595,35.1357362244892,35.966045837902264,80.63103527762833,46.05232468183098,145.0358031313064,113.72989174556696,140.3173372939997,116.63070816494943,,,81.80050912101919,91.4580536806294
